t,tc_l2_E,tc_l2_I,tc_ma_E,tc_ma_I,cos_E,cos_I
103,0.00010569016740191728,5.41238950972911e-05,6.008683158142958e-06,6.164233582239831e-06,0.0070233773440122604,-0.01005339715629816
104,0.00011214006372028962,5.771496216766536e-05,6.376361397997243e-06,6.5898043430934194e-06,0.004740007221698761,-0.014963410794734955
105,0.00012289872393012047,6.341787957353517e-05,6.9889820224489085e-06,7.254281172208721e-06,0.0009190597338601947,-0.015537272207438946
106,0.0001303348981309682,6.738778029102832e-05,7.414866558974609e-06,7.705028110649437e-06,-0.0004437076859176159,-0.020862862467765808
107,0.00013579142978414893,7.040833588689566e-05,7.729956450930331e-06,8.05911622592248e-06,-0.00028057285817340016,-0.019876226782798767
108,0.00013039025361649692,6.737944204360247e-05,7.422147518809652e-06,7.706566066190135e-06,0.0017015024786815047,-0.020093273371458054
109,0.00012110341049265116,6.22763327555731e-05,6.892190413054777e-06,7.091640782164177e-06,0.0070493873208761215,-0.019742973148822784
110,0.00011885958519997075,6.110401591286063e-05,6.7631340243679006e-06,6.945469976926688e-06,0.008740521036088467,-0.021083282306790352
111,0.00011270309187239036,5.7806973927654326e-05,6.408720764738973e-06,6.574573490070179e-06,0.008629502728581429,-0.019468722864985466
112,0.00010825146455317736,5.5357471865136176e-05,6.146076884760987e-06,6.294362265180098e-06,0.00998635869473219,-0.01613658480346203
113,0.00010870992264244705,5.57360690436326e-05,6.172683242766652e-06,6.3419029174838215e-06,0.008710663765668869,-0.014793125912547112
114,0.00011382767115719616,5.847239663125947e-05,6.468930223491043e-06,6.658658548985841e-06,0.0054359110072255135,-0.01421094499528408
115,0.00012467957276385278,6.427854532375932e-05,7.0975861490296666e-06,7.33261413188302e-06,0.00205954909324646,-0.01535879634320736
116,0.00013068805856164545,6.742309778928757e-05,7.4438739829929546e-06,7.702237780904397e-06,2.867134753614664e-05,-0.018331335857510567
117,0.00013238040264695883,6.820488488301635e-05,7.540070328104775e-06,7.795564670232125e-06,0.0011543692089617252,-0.01897326484322548
118,0.00012907967902719975,6.618953921133652e-05,7.348844519583508e-06,7.562909559055697e-06,0.002813887782394886,-0.02060946449637413
119,0.00012432958465069532,6.379600381478667e-05,7.076497695379658e-06,7.281592843355611e-06,0.006016513332724571,-0.02091216668486595
120,0.00011764236114686355,6.0256716096773744e-05,6.6868728936242405e-06,6.875630788272247e-06,0.007210246752947569,-0.01772741600871086
121,0.00011299855395918712,5.760978820035234e-05,6.420082172553521e-06,6.56141082799877e-06,0.008096682839095592,-0.013428213074803352
122,0.00010736794502008706,5.4550866479985416e-05,6.092569037718931e-06,6.214589575392893e-06,0.007362456060945988,-0.012359054759144783
123,0.000107600812043529,5.461479304358363e-05,6.10293091085623e-06,6.2248836911749095e-06,0.006496918387711048,-0.010452358052134514
124,0.00011692552652675658,5.947906174696982e-05,6.637777914875187e-06,6.786639914935222e-06,0.0028448777738958597,-0.011943820863962173
125,0.00012458048877306283,6.349426985252649e-05,7.080452633090317e-06,7.240634204208618e-06,-0.0001129744341596961,-0.013906273990869522
126,0.00012614236038643867,6.467265484388918e-05,7.178191481216345e-06,7.386423021671362e-06,-0.0010776089038699865,-0.012632163241505623
127,0.00012963471817784011,6.673300231341273e-05,7.3839587457769085e-06,7.623987130500609e-06,-0.0009927591308951378,-0.009070168249309063
128,0.0001322567550232634,6.805612065363675e-05,7.536355951742735e-06,7.77044078859035e-06,-0.0006607675459235907,-0.009892483241856098
129,0.00012645905371755362,6.478805880760774e-05,7.2026136876957025e-06,7.385775916191051e-06,0.001887675141915679,-0.011686062440276146
130,0.0001202702333102934,6.154201400931925e-05,6.844741164968582e-06,7.0130299718584865e-06,0.005186679773032665,-0.010159188881516457
131,0.000114290407509543,5.8320409152656794e-05,6.497638423752505e-06,6.6365419115754776e-06,0.006716979667544365,-0.01190519891679287
132,0.00011001316306646913,5.611566666630097e-05,6.248094905458856e-06,6.380206741596339e-06,0.008065640926361084,-0.011207129806280136
133,0.00011080881813541055,5.663641422870569e-05,6.290581495704828e-06,6.449770808103494e-06,0.006196110509335995,-0.009195600636303425
134,0.00011836926569230855,6.046787530067377e-05,6.724577815475641e-06,6.889100404805504e-06,0.004394726827740669,-0.01296011358499527
135,0.00012266506382729858,6.265760748647153e-05,6.967437911953311e-06,7.138404271245236e-06,0.002184690674766898,-0.016862358897924423
136,0.00012526020873337984,6.404971645679325e-05,7.115815151337301e-06,7.2878715400293e-06,0.0015082726022228599,-0.015572354197502136
137,0.00012965869973413646,6.626146205235273e-05,7.3684582275745925e-06,7.535269105574116e-06,0.0010094402823597193,-0.015677588060498238
138,0.00012774145579896867,6.511759420391172e-05,7.259468020492932e-06,7.402405117318267e-06,0.002124158898368478,-0.018956920132040977
139,0.00012201252684462816,6.213723827386275e-05,6.933429176569916e-06,7.077500413288362e-06,0.004633128177374601,-0.016987692564725876
140,0.00011798959894804284,6.005874456604943e-05,6.699848654534435e-06,6.852417754998896e-06,0.006589080672711134,-0.01855969987809658
141,0.00011420530790928751,5.82134525757283e-05,6.483319793915143e-06,6.6404954850440845e-06,0.0066907634027302265,-0.015456052497029305
142,0.00011109974730061367,5.6730150390649214e-05,6.306483555817977e-06,6.471725555456942e-06,0.00541707593947649,-0.00895816832780838
143,0.00011212412937311456,5.738791514886543e-05,6.3632951423642226e-06,6.541938546433812e-06,0.004726859740912914,-0.010451878421008587
144,0.0001159773237304762,5.925744699197821e-05,6.5893432292796206e-06,6.751300134055782e-06,0.0022548846900463104,-0.010800915770232677
145,0.00012261960364412516,6.259662040974945e-05,6.971542461542413e-06,7.13883764547063e-06,0.0006036140839569271,-0.013457544147968292
146,0.00012594186409842223,6.422052683774382e-05,7.158550033636857e-06,7.324289526877692e-06,0.0004655751399695873,-0.01835811883211136
147,0.00012660244829021394,6.47630076855421e-05,7.195443686214276e-06,7.3744940891629085e-06,0.0009692767634987831,-0.01544833555817604
148,0.00012728189176414162,6.529967504320666e-05,7.234110398712801e-06,7.42979000278865e-06,0.001921117422170937,-0.016329199075698853
149,0.00012336083455011249,6.332850171020254e-05,7.008971351751825e-06,7.2085940701072104e-06,0.0030028903856873512,-0.016357453539967537
150,0.00011721024930011481,6.0277539887465537e-05,6.660508461209247e-06,6.861491783638485e-06,0.00442149443551898,-0.014590014703571796
151,0.00011431158054620028,5.8862635341938585e-05,6.497294180007884e-06,6.692011538689258e-06,0.005640250630676746,-0.013190656900405884
152,0.00011234664998482913,5.778807098977268e-05,6.38821984466631e-06,6.570774530700874e-06,0.004776897840201855,-0.009726051241159439
153,0.00011350469139870256,5.8218458434566855e-05,6.4531504904152825e-06,6.626406957366271e-06,0.0033732368610799313,-0.006715297233313322
154,0.00011655772686935961,5.9817397414008155e-05,6.625418791372795e-06,6.8098283918516245e-06,0.0020634045358747244,-0.009356270544230938
155,0.00012164255895186216,6.24705571681261e-05,6.911405762366485e-06,7.107717010512715e-06,0.0002975913812406361,-0.007718896493315697
156,0.00012601799971889704,6.491738167824224e-05,7.1612789724895265e-06,7.391051440208685e-06,-0.00019015924772247672,-0.010900203138589859
157,0.00012534856796264648,6.452619709307328e-05,7.126852324290667e-06,7.341384389292216e-06,0.00012934385449625552,-0.010221815668046474
158,0.00012197245087008923,6.26769324298948e-05,6.933698841748992e-06,7.134309271350503e-06,0.0029951774049550295,-0.013554265722632408
